date,rr_shock
1969-01-01,-0.2274091392755508
1969-04-01,0.6749187645036727
1969-07-01,0.4843626506626606
1969-10-01,0.1658559043426067
1970-01-01,-0.5745370611548424
1970-04-01,-0.0259718298912048
1970-07-01,-0.925677627325058
1970-10-01,-0.5999237848445773
1971-01-01,-0.8935021460056305
1971-04-01,0.8770070113241673
1971-07-01,-0.1003367304801941
1971-10-01,-1.527480840682983
1972-01-01,-0.1236862689256668
1972-04-01,-0.3411303535103798
1972-07-01,-0.1117620393633842
1972-10-01,-0.0591099951416254
1973-01-01,0.5286473482847214
1973-04-01,0.5815276280045509
1973-07-01,-0.2387916594743729
1973-10-01,-1.189948216080666
1974-01-01,0.7318664342164993
1974-04-01,0.9913459271192552
1974-07-01,-0.6221972033381462
1974-10-01,-0.3070521354675293
1975-01-01,-0.6043138056993484
1975-04-01,-0.2432384490966797
1975-07-01,-0.1929660066962242
1975-10-01,-0.2928912192583084
1976-01-01,-0.8150341659784317
1976-04-01,-0.1452675834298134
1976-07-01,-0.20549903716892
1976-10-01,-0.2118411725386977
1977-01-01,-0.4797343760728836
1977-04-01,-0.3274968937039375
1977-07-01,-0.2129833810031414
1977-10-01,-0.2208928056061268
1978-01-01,-0.1508405162021518
1978-04-01,-0.1444738954305649
1978-07-01,-0.4080551192164421
1978-10-01,0.2322706319391727
1979-01-01,-0.0999673828482628
1979-04-01,-0.0272533521056175
1979-07-01,0.8895470798015594
1979-10-01,0.0993314906954765
1980-01-01,1.81355057656765
1980-04-01,-4.058773934841156
1980-07-01,1.164973452687263
1980-10-01,2.474536657333374
1981-01-01,-0.4291963279247284
1981-04-01,1.525954008102417
1981-07-01,-0.7218543514609337
1981-10-01,-0.8630373701453209
1982-01-01,0.6124529540538788
1982-04-01,-0.0891476348042488
1982-07-01,-0.435907393693924
1982-10-01,0.453018344938755
1983-01-01,0.3403285443782806
1983-04-01,-0.0370014272630215
1983-07-01,-0.1983932442963123
1983-10-01,0.2766462713479996
1984-01-01,0.1515853255987167
1984-04-01,0.13765749335289
1984-07-01,0.2864533104002476
1984-10-01,-0.7383594769053161
1985-01-01,0.0938688218593597
1985-04-01,-0.1474005430936813
1985-07-01,0.254004530608654
1985-10-01,0.0780943986028433
1986-01-01,-0.0923630222678185
1986-04-01,0.2789762765169144
1986-07-01,-0.3884780742228031
1986-10-01,-0.0200735181570053
1987-01-01,0.4283996820449829
1987-04-01,0.2585373818874359
1987-07-01,-0.1605985220521688
1987-10-01,-0.1958912312984467
1988-01-01,-0.0883625671267509
1988-04-01,0.5805243998765945
1988-07-01,-0.2102174051105976
1988-10-01,0.4447968509048223
1989-01-01,0.3247353434562683
1989-04-01,0.1436367928981781
1989-07-01,-0.052243247628212
1989-10-01,0.0367205888032913
1990-01-01,0.2577399127185345
1990-04-01,0.044887475669384
1990-07-01,0.0719500482082367
1990-10-01,-0.1521085388958454
1991-01-01,0.0402714610099792
1991-04-01,0.2334903478622437
1991-07-01,0.0716177336871624
1991-10-01,0.006702889688313
1992-01-01,-0.0160251669585705
1992-04-01,0.1536554396152496
1992-07-01,-0.0479476465843618
1992-10-01,-0.2830334976315498
1993-01-01,0.062989067286253
1993-04-01,0.3246819972991943
1993-07-01,0.2725431434810162
1993-10-01,-0.183465737849474
1994-01-01,0.5886675715446472
1994-04-01,0.3189584314823151
1994-07-01,0.5814388170838356
1994-10-01,0.3894201219081879
1995-01-01,0.7535121142864227
1995-04-01,0.2281153500080109
1995-07-01,0.0352155845612288
1995-10-01,-0.0138859748840332
1996-01-01,0.1398095414042473
1996-04-01,0.0037818280979991
1996-07-01,-0.0270067807286978
1996-10-01,0.0862866407260299
1997-01-01,0.1277924031019211
1997-04-01,0.1036549583077431
1997-07-01,-0.1427021026611328
1997-10-01,-0.0718922629021108
1998-01-01,-0.0518048815429211
1998-04-01,-0.0645189359784126
1998-07-01,-0.0444200038909912
1998-10-01,-0.3070178329944611
1999-01-01,-0.2594592571258545
1999-04-01,0.1483468562364578
1999-07-01,0.2560746371746063
1999-10-01,-0.1577558070421219
2000-01-01,0.0232468321919441
2000-04-01,0.3643078804016113
2000-07-01,-0.0592025257647038
2000-10-01,0.1229383628815413
2001-01-01,-0.4464053809642792
2001-04-01,-0.5562474131584167
2001-07-01,-0.1289616227149963
2001-10-01,-0.3825280517339706
2002-01-01,-0.5211733728647232
2002-04-01,0.2081396579742432
2002-07-01,0.1041661463677883
2002-10-01,-0.2800266921985894
2003-01-01,0.0202894783578813
2003-04-01,-0.2291566133499146
2003-07-01,-0.2717572450637817
2003-10-01,-0.4209875613451004
2004-01-01,-0.0369602292776108
2004-04-01,0.0292589142918587
2004-07-01,0.4268591403961182
2004-10-01,0.4543044418096542
2005-01-01,0.1680486425757408
2005-04-01,0.5301627665758133
2005-07-01,0.3095329962670803
2005-10-01,0.2695315964519978
2006-01-01,0.2090218886733055
2006-04-01,0.6044538170099258
2006-07-01,0.1261501349508762
2006-10-01,-0.0137968324124813
2007-01-01,0.0863400548696518
2007-04-01,-0.0833343816921115
2007-07-01,-0.5634434130042791
2007-10-01,-0.3788986541330814
