date,real_gdp,gdp_growth,inflation,policy_rate
1961-01-01,3493.703,2.69099968535258,0.8050992318789696,2.0033333333333334
1961-04-01,3553.021,6.7344089130905616,-0.1340707235613081,1.7333333333333334
1961-07-01,3621.252,7.608637950862374,1.5613692941684576,1.6833333333333331
1961-10-01,3692.289,7.770707414716327,0.5783883995357897,2.4
1962-01-01,3758.147,7.071770337623207,1.553055364951739,2.4566666666666666
1962-04-01,3792.149,3.602744036864891,1.5029302685185542,2.606666666666667
1962-07-01,3838.776,4.888275567318345,1.1455013886557452,2.8466666666666662
1962-10-01,3851.421,1.315442129373423,0.966714740557606,2.9233333333333333
1963-01-01,3893.482,4.3446807291850575,1.2707465362394643,2.966666666666667
1963-04-01,3937.183,4.464648015941464,0.7430478014997632,2.9633333333333334
1963-07-01,4023.755,8.70002131109402,2.437970106998577,3.33
1963-10-01,4050.147,2.615052201603163,1.083600380947125,3.453333333333333
1964-01-01,4135.553,8.347151669722308,1.6414709860557153,3.4633333333333334
1964-04-01,4180.592,4.332722948976198,0.6460993166976792,3.49
1964-07-01,4245.918,6.202074999144003,0.902789356306144,3.456666666666667
1964-10-01,4259.046,1.2348562958102605,1.8422353561890148,3.5766666666666667
1965-01-01,4362.111,9.564369183250676,1.2376643643321472,3.9766666666666666
1965-04-01,4417.225,5.022222548175392,2.5485909728569567,4.079999999999999
1965-07-01,4515.427,8.79523406872309,1.1838080725970812,4.076666666666667
1965-10-01,4619.458,9.11105046148606,2.1052680177099603,4.166666666666667
1966-01-01,4731.888,9.61875800108487,3.7201793836015193,4.56
1966-04-01,4748.046,1.363555117326598,3.603441402951191,4.913333333333333
1966-07-01,4788.254,3.373068235302412,3.448651147557236,5.41
1966-10-01,4827.537,3.2682256540745414,3.257015450615519,5.5633333333333335
1967-01-01,4870.299,3.527572719993799,1.0124024640168372,4.823333333333333
1967-04-01,4873.287,0.2453306282646394,2.419362214352283,3.99
1967-07-01,4919.392,3.7665150191052983,4.000033333833386,3.893333333333333
1967-10-01,4956.477,3.004104190667789,4.354323058100462,4.173333333333333
1968-01-01,5057.553,8.075025352778908,3.9177590369149584,4.79
1968-04-01,5142.033,6.626302827451269,3.879758835485525,5.983333333333333
1968-07-01,5181.859,3.086138255497417,5.369208132856151,5.946666666666666
1968-10-01,5202.212,1.568019021696898,4.921974076151514,5.916666666666667
1969-01-01,5283.597,6.209278408137919,4.862144951912839,6.566666666666666
1969-04-01,5299.625,1.2115790260551762,6.270298981923439,8.326666666666666
1969-07-01,5334.6,2.631136814059687,5.452151652276349,8.983333333333333
1969-10-01,5308.556,-1.9576187351304952,6.090578932516522,8.94
1970-01-01,5300.652,-0.5960106701543566,6.349339662516051,8.573333333333332
1970-04-01,5308.164,0.5664723569900332,5.560471817976342,7.886666666666667
1970-07-01,5357.077,3.6689911039523793,4.120208103186229,6.706666666666667
