date,real_gdp,cpi,policy_rate,baa_treasury_spread,gdp_growth,inflation,target_next_growth
1961-01-01,3493.703,29.84,2.0033333333333334,1.2766666666666666,2.6909996853525797,0.8050992318789696,6.7344089130905616
1961-04-01,3553.021,29.83,1.7333333333333334,1.2266666666666666,6.7344089130905616,-0.1340707235613081,7.608637950862374
1961-07-01,3621.252,29.94666666666667,1.6833333333333333,1.1266666666666667,7.608637950862374,1.5613692941684576,7.770707414716327
1961-10-01,3692.289,29.99,2.4,1.14,7.770707414716327,0.5783883995357897,7.071770337623207
1962-01-01,3758.147,30.106666666666666,2.4566666666666666,1.0466666666666666,7.071770337623207,1.5530553649517387,3.602744036864891
1962-04-01,3792.149,30.22,2.606666666666667,1.14,3.602744036864891,1.5029302685185542,4.888275567318345
1962-07-01,3838.776,30.30666666666667,2.8466666666666662,1.0566666666666666,4.888275567318345,1.1455013886557452,1.315442129373423
1962-10-01,3851.421,30.38,2.9233333333333333,1.0533333333333335,1.315442129373423,0.966714740557606,4.3446807291850575
1963-01-01,3893.482,30.47666666666667,2.966666666666667,1.0,4.3446807291850575,1.2707465362394643,4.464648015941464
1963-04-01,3937.183,30.53333333333333,2.9633333333333334,0.89,4.464648015941464,0.7430478014997632,8.70002131109402
1963-07-01,4023.755,30.72,3.33,0.8033333333333333,8.70002131109402,2.437970106998577,2.615052201603163
1963-10-01,4050.147,30.80333333333333,3.453333333333333,0.7200000000000001,2.615052201603163,1.083600380947125,8.347151669722308
1964-01-01,4135.553,30.930000000000003,3.4633333333333334,0.65,8.347151669722308,1.6414709860557153,4.332722948976198
1964-04-01,4180.592,30.98,3.49,0.65,4.332722948976198,0.6460993166976792,6.202074999144003
1964-07-01,4245.918,31.05,3.456666666666667,0.63,6.202074999144003,0.902789356306144,1.2348562958102605
1964-10-01,4259.046,31.19333333333333,3.5766666666666667,0.6366666666666667,1.2348562958102605,1.8422353561890148,9.564369183250676
1965-01-01,4362.111,31.290000000000003,3.9766666666666666,0.5833333333333334,9.564369183250676,1.2376643643321472,5.022222548175392
1965-04-01,4417.225,31.49,4.079999999999999,0.6133333333333333,5.022222548175392,2.5485909728569567,8.79523406872309
1965-07-01,4515.427,31.583333333333332,4.076666666666667,0.6433333333333334,8.79523406872309,1.1838080725970812,9.111050461486059
1965-10-01,4619.458,31.75,4.166666666666667,0.49333333333333335,9.111050461486059,2.1052680177099603,9.61875800108487
1966-01-01,4731.888,32.04666666666666,4.56,0.39666666666666667,9.61875800108487,3.7201793836015185,1.363555117326598
1966-04-01,4748.046,32.336666666666666,4.913333333333333,0.71,1.363555117326598,3.6034414029511908,3.373068235302412
1966-07-01,4788.254,32.61666666666667,5.41,0.7266666666666667,3.373068235302412,3.4486511475572357,3.2682256540745414
1966-10-01,4827.537,32.88333333333333,5.5633333333333335,1.1333333333333335,3.2682256540745414,3.257015450615519,3.527572719993799
