date,real_gdp,deflator,nfci,log_gdp,growth_now,inflation,growth_4q_ahead
1973-01-01,6058.544,22.736,0.6766153846153846,8.709224786168932,7.2889660595024,3.9840187183341147,0.6369654736653629
1973-04-01,6124.506,23.086,1.1927692307692308,8.72005337909907,6.127903151578273,4.891145715278178,-0.20847886113877223
1973-07-01,6092.301,23.535,2.0246153846153847,8.714781121855529,4.661016469861501,5.866669277473369,-0.6310266241484896
1973-10-01,6150.131,24.004,2.125,8.724228661386713,3.945198700178487,6.57279189645763,-1.9649426035490691
1974-01-01,6097.258,24.457,0.8275384615384614,8.715594440905585,0.6369654736653629,7.29669021590289,-2.32662878535006
1974-04-01,6111.751,25.035,2.9646153846153847,8.717968590487683,-0.20847886113877223,8.104847258918735,-1.8518844390081668
1974-07-01,6053.978,25.769,4.785615384615385,8.708470855614044,-0.6310266241484896,9.06835442464451,0.7954433342023393
1974-10-01,6030.464,26.527,3.009923076923077,8.704579235351222,-1.9649426035490691,9.99425990958045,2.5227056288846583
1975-01-01,5957.035,27.13,1.4655384615384615,8.692328153052085,-2.32662878535006,10.372365315706666,5.9723540890638915
1975-04-01,5999.61,27.533,0.11246153846153846,8.699449746097601,-1.8518844390081668,9.511043946609998,5.990892710768847
1975-07-01,6102.326,28.019,-0.09053846153846154,8.716425288956067,0.7954433342023393,8.371063237873111,4.839253179777003
1975-10-01,6184.53,28.488,0.05976923076923077,8.729806291640068,2.5227056288846583,7.131986375240551,4.221158212234144
1976-01-01,6323.649,28.789,-0.5780000000000001,8.752051693942724,5.9723540890638915,5.935324306725764,3.175870534270153
1976-04-01,6370.025,29.079,-0.5722307692307692,8.75935867320529,5.990892710768847,5.463097893057256,4.3684813983752235
1976-07-01,6404.895,29.455,-0.6472307692307692,8.764817820753837,4.839253179777003,4.998082349536892,5.609667418059772
1976-10-01,6451.177,29.983,-0.6968571428571428,8.77201787376241,4.221158212234144,5.114760840377652,4.8916548769895485
1977-01-01,6527.703,30.465,-0.8953333333333333,8.783810399285425,3.175870534270153,5.658511396235966,4.031734057329217
1977-04-01,6654.466,30.895,-0.6076923076923078,8.803043487189042,4.3684813983752235,6.057809433436256,5.9003857092204015
1977-07-01,6774.457,31.271,-0.4737857142857143,8.820914494934435,5.609667418059772,5.98274755178636,5.114009694421995
1977-10-01,6774.592,31.947,-0.25361538461538463,8.820934422532305,4.8916548769895485,6.34477253221033,6.447189128920705
1978-01-01,6796.26,32.411,-0.19515384615384615,8.824127739858717,4.031734057329217,6.191938765148564,6.307290133207921
1978-04-01,7058.92,33.031,0.43746153846153846,8.862047344281246,5.9003857092204015,6.6852155938576185,2.6220180469090693
1978-07-01,7129.915,33.592,0.5975384615384616,8.872054591878655,5.114009694421995,7.159679289037779,2.3613527667670553
1978-10-01,7225.75,34.279,1.7335384615384617,8.885406313821512,6.447189128920705,7.045464207413721,1.2759136491817813
1979-01-01,7238.727,34.904,0.805076923076923,8.887200641190796,6.307290133207921,7.410356446936506,1.4105583262965737
1979-04-01,7246.454,35.759,0.4513846153846154,8.888267524750336,2.6220180469090693,7.935547125697173,-0.7780880128148482
1979-07-01,7300.281,36.541,1.5078461538461538,8.895668119546325,2.3613527667670553,8.414697446223807,-1.63707293047608
1979-10-01,7318.535,37.219,2.3093846153846154,8.89816545031333,1.2759136491817813,8.228646180202093,-0.039059158584464626
1980-01-01,7341.557,38.001,2.448846153846154,8.901306224453762,1.4105583262965737,8.501103934829679,1.5873360954083537
1980-04-01,7190.289,38.905,3.0827692307692307,8.880486644622188,-0.7780880128148482,8.43207913604025,2.9254587635312745
1980-07-01,7181.743,39.774,0.9594615384615385,8.879297390241565,-1.63707293047608,8.47785146431792,4.234772952285759
1980-10-01,7315.677,40.81,2.4080000000000004,8.897774858727486,-0.039059158584464626,9.210776584019964,1.2914497916703738
1981-01-01,7459.022,41.885,2.386923076923077,8.917179585407846,1.5873360954083537,9.731529243616732,-2.2148630590564267
1981-04-01,7403.745,42.715,2.422230769230769,8.9097412322575,2.9254587635312745,9.342736953468878,-1.0158879498838758
1981-07-01,7492.405,43.519,3.3377692307692306,8.921645119764422,4.234772952285759,8.998419185520445,-2.5892760433816164
